MLII,V1
0.164885515,0.258612651
0.172258938,0.2585997
0.172313556,0.258651505
0.182108374,0.269168005
0.177289857,0.258923483
0.174935217,0.248717816
0.179869038,0.243679739
0.187212118,0.249028648
0.187242461,0.26998394
0.189675994,0.285706885
0.187224255,0.2805911
0.192073115,0.270255919
0.189609239,0.244340258
0.19685522,0.259933689
0.199203792,0.280759467
0.201503814,0.291263016
0.198948908,0.317359996
0.201273205,0.317502461
0.201218587,0.312477335
0.208488843,0.312645703
0.220632233,0.328355696
0.227890351,0.338872196
0.237563797,0.3441693
0.2399063,0.338962856
0.244615581,0.318175931
0.246879191,0.302504792
0.249173145,0.307659431
0.253949181,0.307698285
0.261255849,0.3025825
0.26143184,0.276705693
0.256947099,0.255983526
0.260060322,0.266409366
0.261061652,0.276835207
0.262402826,0.287338756
0.251873699,0.303243019
0.243990509,0.293451795
0.243505016,0.273506709
0.235682512,0.264324198
0.227647605,0.245091437
0.21443613,0.257252759
0.212979652,0.274542817
0.211098367,0.281212765
0.213774646,0.271913692
0.201625187,0.293322282
0.194221421,0.298774802
0.1867509,0.319484018
0.181713911,0.288076983
0.171815925,0.277430969
0.174103811,0.261643268
0.166663632,0.230365746
0.166517984,0.235572191
0.163920598,0.240869295
0.1539862,0.246140496
0.153755591,0.251411698
0.165662303,0.241050614
0.165389214,0.246192302
0.174844187,0.256540434
0.172107221,0.272069108
0.164503189,0.272004352
0.166609014,0.266707248
0.151625491,0.240597316
0.151249234,0.235326115
0.145975568,0.224900275
0.145568967,0.230145573
0.132994702,0.219810392
0.139900838,0.225055691
0.158992845,0.219952857
0.195137789,0.220017614
0.255605925,0.235649899
0.335572669,0.256475677
0.43014668,0.235701704
0.549068157,0.225327669
0.672868838,0.235701704
0.79421778,0.287623685
0.898586609,0.391467648
0.968916319,0.516111485
0.978456254,0.651168212
0.924760743,0.74474175
0.810251182,0.822670051
0.656805093,0.812373724
0.491209545,0.7605165
0.342660865,0.641143864
0.220868911,0.49053256
0.147765823,0.324288971
0.111165729,0.178806403
0.103780169,0.095658706
0.106140878,0.095645755
0.12557273,0.142361291
0.142589255,0.194283272
0.147425978,0.225483086
0.144974239,0.241115371
0.147401703,0.256799461
0.142528568,0.236077294
0.13277623,0.246477232
0.120590359,0.235999586
0.110850159,0.22552194
0.105958818,0.220134176
0.105940612,0.194089002
0.105958818,0.20965653
0.10354956,0.220030565
0.101116027,0.225185204
0.098621807,0.230300989
0.093572681,0.209475211
0.1029609,0.23021033
0.107239306,0.230236233
0.111226416,0.251010206
0.110030889,0.240519608
0.10848945,0.235002331
0.106638508,0.208477957
0.094895649,0.197184375
0.088013788,0.185592913
0.078844041,0.184090556
0.074850863,0.192742061
0.080949867,0.18059369
0.092340743,0.184258923
0.094373745,0.198673781
0.0991073,0.208309589
0.096740522,0.213153396
0.089597708,0.207869243
0.092201164,0.192340569
0.092328606,0.187121173
0.094841031,0.171475936
0.099738441,0.17657877
0.09734132,0.171191007
0.092504597,0.165751438
0.090143888,0.149989639
0.095168739,0.149834223
0.095375074,0.155001813
0.100484886,0.180982231
0.108028231,0.170543439
0.115541234,0.170478682
0.1254817,0.165194529
0.125688034,0.133929959
0.12103944,0.139045744
0.116415121,0.12868466
0.114236471,0.139149355
0.112100303,0.128930736
0.10998234,0.1343185
0.117604578,0.118945242
0.125245022,0.119165415
0.140192134,0.124604984
0.145405113,0.135225095
0.148178491,0.119838885
0.14605446,0.10440087
0.136599487,0.094143397
0.12711417,0.083950681
0.129796518,0.094583743
0.12516613,0.100062167
0.127824203,0.095179506
0.130506551,0.080026421
0.138055965,0.059692794
0.148044981,0.070533078
0.155600464,0.076166917
0.160722413,0.086968347
0.1658565,0.087330985
0.166111384,0.077332539
0.166354131,0.067282288
0.161717674,0.052038543
0.152183808,0.078329793
0.147510939,0.068344299
0.14528374,0.068693985
0.145514349,0.074314873
0.145757096,0.085129255
0.15330651,0.095917733
0.158422391,0.106680309
0.16594753,0.091449516
0.163720332,0.086605709
0.166354131,0.076568409
0.166554396,0.087279179
0.169176058,0.098002901
0.164509258,0.124345957
0.162251716,0.140314977
0.169716169,0.145974719
0.174753157,0.146492773
0.182254022,0.157423717
0.184875683,0.178767549
0.187503414,0.210485417
0.187673336,0.205822929
0.187849327,0.216753872
0.188007112,0.222452469
0.18085823,0.228164016
0.17854607,0.244288453
0.178685649,0.255232347
0.176397764,0.240195824
0.16196042,0.235611045
0.169424873,0.236245661
0.17931679,0.247344972
0.179480644,0.263611874
0.182102305,0.285033414
0.184699692,0.285603274
0.182423945,0.254947417
0.180117853,0.250246076
0.177805694,0.245570637
0.165753333,0.251295135
0.173175305,0.236284515
0.166002148,0.231660882
0.161286799,0.237437186
0.161432447,0.238058851
0.166433023,0.254312801
0.176312803,0.270592654
0.174012781,0.286885458
0.176561618,0.271939595
0.176658717,0.251709579
0.174316214,0.236647153
0.169546246,0.247552194
0.159903144,0.253224887
0.164843034,0.258897581
0.164921927,0.238563954
0.167434352,0.223384966
0.172398517,0.223786458
0.17492308,0.255413666
0.172580577,0.261047506
0.17755081,0.261423095
0.182527112,0.261695073
0.182630279,0.246334767
0.192467578,0.241374398
0.190112938,0.246813967
0.18774616,0.247111848
0.178109127,0.231868103
0.173339159,0.221753095
0.175906203,0.222038025
0.180955329,0.232735844
0.181179869,0.238291975
0.18629575,0.264660934
0.193851233,0.254675439
0.196551787,0.260218619
0.189518209,0.250064757
0.192212694,0.245065534
0.192479716,0.260840284
0.187916083,0.266240999
0.188219516,0.261202922
0.183631608,0.235377921
0.183916835,0.230339844
0.176907532,0.225314718
0.177223102,0.235883023
0.184827134,0.241322592
0.187539826,0.262355592
0.190246448,0.246956432
0.195368398,0.241931306
0.19558687,0.231622028
0.195756792,0.247254313
0.198335973,0.252564368
0.191181022,0.237152256
0.188899206,0.237333575
0.186574909,0.221999171
0.191557279,0.243032171
0.189239051,0.26405222
0.194221421,0.2590789
0.196758121,0.259260219
0.201722286,0.259441538
0.213950638,0.259532197
0.21887839,0.269970989
0.221348335,0.290770865
0.221348335,0.290796767
0.226215401,0.280474538
0.223812211,0.280552246
0.226270019,0.265088328
0.233625236,0.285991815
0.240980453,0.291340724
0.248323532,0.296676682
0.262991486,0.302012641
0.267882826,0.281342278
0.280068697,0.260633062
0.277647302,0.245039631
0.275231975,0.250246076
0.272780236,0.255413666
0.267901032,0.234678547
0.258197244,0.229601616
0.25830648,0.229692276
0.253706435,0.235015283
0.249300587,0.245570637
0.245149623,0.23527431
0.238880696,0.230171476
0.242643266,0.235494483
0.229668469,0.235714656
0.224255224,0.24655494
0.2092717,0.242112625
0.196752053,0.23795524
0.191399494,0.234043931
0.19064698,0.214785267
0.184645074,0.221519971
0.183085429,0.222918717
0.181143457,0.244819458
0.17161566,0.250751179
0.176543412,0.23546858
0.176519138,0.230223281
0.171603522,0.21960317
0.16667577,0.240079262
0.156899157,0.239872041
0.159302347,0.239755478
0.154398869,0.224123193
0.149495391,0.198129824
0.156741372,0.208555665
0.161559889,0.2189297
0.161468859,0.229316687
0.156492557,0.224071388
0.156334772,0.234406569
0.158586245,0.198013262
0.148645778,0.187496762
0.153276167,0.187419054
0.167586069,0.208089416
0.189166227,0.213166347
0.239942712,0.197521111
0.310163186,0.181888826
0.407201073,0.166386054
0.523743635,0.171696109
0.650056742,0.213451277
0.786110049,0.275928612
0.900267628,0.374721546
0.975494748,0.499417189
0.987413597,0.639680361
0.931181386,0.769517692
0.811659111,0.852600632
0.667807575,0.852600632
0.497235725,0.764272393
0.346186757,0.618828679
